Gene_ID,Gene_Annotation ,Expression_values,Gene_length,Unique_gene_reads,Total_gene_reads,RPKM
g1.t1,sugar transporter,2,1233,2,2,0.0810
g10.t1,sulfite oxidase,2,864,2,2,0.1156
g100.t1,Not Available,4,1059,4,4,0.1887
g1000.t1,mannosylphosphate transferase,1083,876,1083,2355,134.3118
g10000.t1,Not Available,5,1577,5,18,0.5703
g10001.t1,chitin synthase activator,383,3775,383,1167,15.4448
g10002.t1,udp-glucose:glycoprotein glucosyltransferase,796,4518,796,1080,11.9428
g10003.t1,Not Available,0,735,0,0,0.0000
g10004.t1,hypothetical protein BC1G_15740 [Botryotinia fuckeliana B05.10],368,1293,368,598,23.1063
g10005.t1,Not Available,0,669,0,2,0.1494
g10006.t1,white collar 1 protein,1056,2988,1056,1265,21.1513
g10007.t1,Not Available,149,3801,149,302,3.9695
g10008.t1,importin subunit beta-3,1845,3288,1845,3665,55.6890
g10009.t1,sds23 moc1,2004,1518,2004,3136,103.2123
g1001.t1,Not Available,245,876,245,526,29.9991
g10010.t1,Not Available,12,723,12,23,1.5893
g10011.t1,Not Available,400,1137,400,586,25.7492
g10012.t1,ribosome assembly protein 3,15,216,15,27,6.2451
g10013.t1,integral membrane protein,2725,1782,2725,3881,108.8086
g10014.t1,Not Available,133,726,133,204,14.0385
g10015.t1,Not Available,69,1098,69,124,5.6422
g10016.t1,metallo-beta-lactamase domain,582,831,582,1130,67.9367
g10017.t1,ubiquitin carboxyl-terminal hydrolase-like protein,826,1704,826,1381,40.4903
g10018.t1,n -adenine-specific dna methyltransferase,1193,2340,1193,2093,44.6869
g10019.t1,Not Available,578,1536,578,1013,32.9492
g1002.t1,ubiquitin metalloprotease fusion protein,229,1032,229,359,17.3797
g10020.t1,nadh-ubiquinone oxidoreductase 40 kda subunit,2879,1125,2879,4320,191.8485
g10021.t1,gpi transamidase component gaa1,2983,3432,2983,3620,52.6973
g10022.t1,26s proteasome regulatory subunit rpn9,3028,3237,3028,3777,58.2950
g10023.t1,aconitate mitochondrial precursor,1475,2322,1475,7891,169.7841
g10024.t1,aconitate hydratase,3430,2316,3430,18196,392.5226
g10025.t1,zinc finger protein,780,435,780,809,92.9151
g10026.t1,dash complex component,532,870,532,549,31.5268
g10027.t1,phosphatidylinositol transfer protein csr1,1503,2205,1503,1823,41.3053
g10028.t1,hit domain protein,3826,1524,3826,4927,161.5195
g10029.t1,hmg box-containing protein,1241,2403,1241,1645,34.2010
g1003.t1,Not Available,0,579,0,4,0.3452
g10030.t1,ran-interacting mog1 protein,4039,1563,4039,5994,191.5954
g10031.t1,Not Available,127,1074,127,132,6.1404
g10032.t1,glycosyltransferase family 48 protein,11368,5736,11368,35157,306.2174
g10033.t1,hypothetical protein CLUG_01701 [Clavispora lusitaniae ATCC 42720],1,4401,1,5,0.0568
g10034.t1,Not Available,784,972,784,1788,91.9028
g10035.t1,aminotransferase class i and ii,4493,1530,4493,4838,157.9799
g10036.t1,Not Available,11,474,11,12,1.2648
